paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format,Column,Column2,Column3,Column4
213,Transgressions of Historical Racist Immigration Policies Reborn,"Doty, Roxanne Lynn. Anti-Immigrantism in Western Democracies: Statecraft, Desire and the Politics of Exclusion. London: Taylor & Francis Group, 2003. ProQuest E-book Central ISBN: 9780203391426. https://doi.org/10.4324/9780203391426 ",antiimmigrantisminwesterndemocraciesstatecraftdesireandthepoliticsofexclusion,Yes,Ebook,,,,
213,Transgressions of Historical Racist Immigration Policies Reborn,"Foner, Nancy, and Richard Alba. ""Immigration and the Legacies of the Past: The Impact of Slavery and the Holocaust on Contemporary Immigrants in the United States and Western Europe."" Comparative Studies in Society and History 52, no. 4 (2010): 798-819. JSTOR https://doi.org/10.1017/s0010417510000447 .",immigrationandthelegaciesofthepasttheimpactofslaveryandtheholocaustoncontemporaryimmigrantsintheunitedstatesandwesterneurope,Yes,Article,,,,
213,Transgressions of Historical Racist Immigration Policies Reborn,"Freeman, Gary P. Immigrant Labor and Racial Conflict in Industrial Societies: The French and British Experience, 1945-1975. Princeton: Princeton University Press, 1979. ProQuest E-book Central ISBN:9781400869053. https://doi.org/10.1515/9781400869053-013 ",immigrantlaborandracialconflictinindustrialsocietiesthefrenchandbritishexperience19451975,Yes,Ebook,,,,
213,Transgressions of Historical Racist Immigration Policies Reborn,"Timmer, Ashley S, and Jeffrey G. Williams. ""Immigration Policy Prior to the 1930s: Labor Markets, Policy Interactions, and Globalization Backlash."" Population and Development Review 24, no. 4 (1998): 739-71. JSTOR https://doi.org/10.2307/2808023",immigrationpolicypriortothe1930slabormarketspolicyinteractionsandglobalizationbacklash,Yes,Article,,,,
215,Contemporary Issues in Okinawa looking back the History,"Appleman, Roy Edgar., and Center of Military History. Okinawa?: the Last Battle. Washington,  D.C.: Center of Military History, U.S. Army, 2000.",okinawathelastbattle,Yes,Ebook,,,,
215,Contemporary Issues in Okinawa looking back the History,"Osius, Ted & Akio, Watanabe. The U.S.-Japan Security Alliance: Why It Matters and How to Strengthen It. Westport: Praeger, 2002.",theusjapansecurityalliancewhyitmattersandhowtostrengthenit,Yes,Ebook,,,,
215,Contemporary Issues in Okinawa looking back the History,"Williams, Brad. “The YIMBY Phenomenon in Henoko, Okinawa: Compensation Politics and Grassroots Democracy in a Base Community.” Asian Survey 53, no. 5 (2013): 958-78. Accessed February 14, 2021. doi:10.1525/as.2013.53.5.958. ",theyimbyphenomenoninhenokookinawacompensationpoliticsandgrassrootsdemocracyinabasecommunity,Yes,Article,,,,
219,The Global Effect of Black Tuesday,"Bernanke, Ben S.. Essays on the Great Depression. Princeton: Princeton University Press, 2004. Accessed May 1, 2021. ProQuest Ebook Central. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/detail.action?docID=445445 ",essaysonthegreatdepression,Yes,Ebook,,,,
219,The Global Effect of Black Tuesday,"Bierman, Harold. Beating the Bear : Lessons from the 1929 Crash Applied to Today's World. Westport: ABC-CLIO, LLC, 2010. Accessed May 1, 2021. ProQuest Ebook Central. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/detail.action?docID=801135",beatingthebearlessonsfromthe1929crashappliedtotodaysworld,Yes,Ebook,,,,
219,The Global Effect of Black Tuesday,"Brauer, Stephen. ""Jay Gatsby and the Prohibition Gangster as Businessman."" The F. Scott Fitzgerald Review 2 (2003): 51-71. Accessed May 2, 2021. http://www.jstor.org/stable/41583051.",jaygatsbyandtheprohibitiongangsterasbusinessman,Yes,Article,,,,
